Date;Montant;Description;Catégorie
23/08/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
22/08/2025;-8,35;INTERMARCHE;Alimentation
22/08/2025;-11,80;AU PETIT MAGASIN BLEU;Logement - maison
22/08/2025;-11,99;PAYPAL;Shopping et services
21/08/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
21/08/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
21/08/2025;-18,92;CARREFOUR OR SC ;Alimentation
21/08/2025;-12,99;Google YouTubeP ;Loisirs et vacances
20/08/2025;;Bpce Financement;A categoriser - rentree d'argent
20/08/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
20/08/2025;-5,29;CARREFOUR FRANC ;Alimentation
19/08/2025;-1,29;FRAIS BANCAIRES;Banque et assurances
19/08/2025;-16,90;LE SAINT VINCEN ;Loisirs et vacances
19/08/2025;-29,77;CARREFOUR OR SC ;Alimentation
19/08/2025;-20,00;xtb.com ;Banque et assurances
19/08/2025;-4,99;APPLE.COM/BILL ;Loisirs et vacances
19/08/2025;-5,99;TF1 PLUS;Loisirs et vacances
19/08/2025;-60,25;ELECLERC;Logement - maison
19/08/2025;-118,65;ACTION;Shopping et services
18/08/2025;;REMISE COTISATIONS;Banque et assurances
18/08/2025;-15,50;COTISATIONS BANCAIRES;Banque et assurances
18/08/2025;-11,97;COTISATIONS BANCAIRES;Banque et assurances
18/08/2025;-1,32;FRAIS BANCAIRES;Banque et assurances
18/08/2025;-86,19;ALDI;Alimentation
18/08/2025;-166,28;LIDL;Alimentation
18/08/2025;-8,88;RIGOLLET REGIS ;Alimentation
18/08/2025;-18,40;LA PAUSE GOURMANDE;Alimentation
18/08/2025;-20,61;WWW.PERPLEXITY. ;Loisirs et vacances
16/08/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
16/08/2025;-21,43;LOVABLE ;Shopping et services
15/08/2025;-7,00;URBAN FOOD ;Alimentation
15/08/2025;-5,00;EURL BOYER JONA ;Shopping et services
15/08/2025;-14,95;PHARMACIE DU THEATRE;Sante
14/08/2025;-40,38;CARREFOUR FRANC ;Alimentation
14/08/2025;-6,95;CARREFOUR OR SC ;Alimentation
13/08/2025;-25,95;CARREFOUR FRANC ;Alimentation
13/08/2025;-20,00;RETRAIT D'ESPECES;A categoriser - sortie d'argent
13/08/2025;-22,99;Google Play App ;Loisirs et vacances
12/08/2025;-31,16;carrefour orl ;Alimentation
12/08/2025;-21,28;carrefour orl ;Alimentation
12/08/2025;-18,24;CARREFOUR OR SC ;Alimentation
12/08/2025;-239,52;GRAND FRAIS;Alimentation
12/08/2025;-4,99;APPLE.COM/BILL ;Loisirs et vacances
11/08/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
11/08/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
11/08/2025;-11,18;CARREFOUR OR SC ;Alimentation
11/08/2025;-68,16;LIDL;Alimentation
11/08/2025;-20,42;CARREFOUR OR SC ;Alimentation
11/08/2025;-31,66;CARREFOUR OR SC ;Alimentation
11/08/2025;-9,42;CARREFOUR OR SC ;Alimentation
09/08/2025;-4,00;RESTO SAS LES ;Alimentation
09/08/2025;-11,00;B.GLACIER;Alimentation
08/08/2025;-1,30;FRAIS BANCAIRES;Banque et assurances
08/08/2025;-16,07;CARREFOUR OR SC ;Alimentation
07/08/2025;-41,97;FREE MOBILE;Logement - maison
07/08/2025;-19,58;INTERMARCHE;Alimentation
07/08/2025;-9,50;LE FOURNIL DE COLIGNY;Alimentation
07/08/2025;-19,13;PAYPAL;Shopping et services
07/08/2025;-20,78;OPENAI CHATGPT ;Shopping et services
06/08/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
06/08/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
06/08/2025;-53,05;carrefour orl ;Alimentation
06/08/2025;-200,00;NATIXIS FINANCEMENT;Banque et assurances
06/08/2025;-15,24;ALIPAY ;Shopping et services
06/08/2025;-5,62;ALIPAY ;Shopping et services
06/08/2025;-4,99;APPLE.COM/BILL ;Loisirs et vacances
06/08/2025;-4,80;CHEZ LI;Alimentation
06/08/2025;-10,10;Trade Republic ;Banque et assurances
06/08/2025;-10,10;Trade Republic ;Banque et assurances
05/08/2025;-8,00;FRAIS BANCAIRES;Banque et assurances
05/08/2025;-8,00;FRAIS BANCAIRES;Banque et assurances
05/08/2025;-8,00;FRAIS BANCAIRES;Banque et assurances
05/08/2025;-8,00;FRAIS BANCAIRES;Banque et assurances
05/08/2025;-8,00;FRAIS BANCAIRES;Banque et assurances
05/08/2025;-8,00;FRAIS BANCAIRES;Banque et assurances
05/08/2025;-8,00;FRAIS BANCAIRES;Banque et assurances
05/08/2025;-8,00;FRAIS BANCAIRES;Banque et assurances
05/08/2025;-8,00;FRAIS BANCAIRES;Banque et assurances
05/08/2025;-8,00;FRAIS BANCAIRES;Banque et assurances
05/08/2025;-23,05;CARREFOUR OR SC ;Alimentation
05/08/2025;-5,10;GRENIER DES HAL ;Alimentation
05/08/2025;-10,99;MOLOTOV ;Logement - maison
05/08/2025;-4,99;Google Play App ;Loisirs et vacances
04/08/2025;-1,46;FRAIS BANCAIRES;Banque et assurances
04/08/2025;-1,32;FRAIS BANCAIRES;Banque et assurances
04/08/2025;-8,25;PAYPAL;Shopping et services
04/08/2025;-25,98;JOUE CLUB;Loisirs et vacances
04/08/2025;-51,50;CRESCENDO;Alimentation
04/08/2025;-222,71;SORODIS;Alimentation
04/08/2025;-29,90;SORODIS;Alimentation
04/08/2025;-11,00;BOULANGERIE PATISSERIE LIBLANC;Alimentation
04/08/2025;-65,91;DECATHLON;Loisirs et vacances
04/08/2025;-34,12;carrefour orl ;Alimentation
02/08/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
02/08/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
02/08/2025;-26,31;XAI LLC ;Shopping et services
02/08/2025;-21,60;CLAUDE.AI SUBSC ;Shopping et services
01/08/2025;-1,20;FRAIS BANCAIRES;Banque et assurances
01/08/2025;-8,36;CARREFOUR OR SC ;Alimentation
01/08/2025;-136,22;GRAND FRAIS;Alimentation
01/08/2025;-50,00;DGEA;Alimentation
31/07/2025;-11,18;CARREFOUR OR SC ;Alimentation
31/07/2025;-17,27;CURSOR, AI POWE ;Shopping et services
31/07/2025;-49,90;SUMUP DR.HIGH ;Shopping et services
30/07/2025;-13,00;MAESTRO;Alimentation
30/07/2025;-23,62;CARREFOUR OR SC ;Alimentation
30/07/2025;-24,90;LIBRAIRIE CHANTELIVRE;Loisirs et vacances
30/07/2025;-11,99;Cafeyn ;Loisirs et vacances
29/07/2025;-10,00;RETRAIT D'ESPECES;A categoriser - sortie d'argent
29/07/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
29/07/2025;-4,99;APPLE.COM/BILL ;Loisirs et vacances
28/07/2025;-7,00;CARREFOUR OR SC ;Alimentation
28/07/2025;-4,18;CARREFOUR OR SC ;Alimentation
28/07/2025;-9,95;AUDIBLE.FR ;Shopping et services
28/07/2025;-9,65;INTERMARCHE;Alimentation
28/07/2025;-3,45;NACH;Alimentation
28/07/2025;-5,80;LE SAINT VINCEN ;Loisirs et vacances
28/07/2025;-43,10;CARREFOUR FRANC ;Alimentation
28/07/2025;-8,15;CARREFOUR FRANC ;Alimentation
26/07/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
26/07/2025;;VIREMENT VERS COMPTE CHEQUE;Transaction exclue
26/07/2025;-110,34;FLOA PAY ;Banque et assurances
26/07/2025;-11,31;EASY CASH;Shopping et services
26/07/2025;-30,00;RETRAIT D'ESPECES;A categoriser - sortie d'argent